vehicleCode,branchCode,type,make,model,year,vehicleClass,vin,vinExceptionType,alternateIdentifier,plateNumber,plateJurisdiction,status,odometerMiles,deviceStatus
CLHQ-V-0149,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0149,OH-0149,OH,Available,611931.00,Unknown
CLHQ-V-0150,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0150,OH-0150,OH,Available,619850.00,Unknown
CLHQ-V-0151,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0151,OH-0151,OH,Available,627769.00,Unknown
CLHQ-V-0152,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0152,OH-0152,OH,Available,635688.00,Unknown
CLHQ-V-0153,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0153,OH-0153,OH,Available,643607.00,Unknown
CLHQ-V-0154,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0154,OH-0154,OH,Available,651526.00,Unknown
CLHQ-V-0155,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0155,OH-0155,OH,Available,49445.00,Unknown
CLHQ-V-0156,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0156,OH-0156,OH,Available,57364.00,Unknown
CLHQ-V-0157,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0157,OH-0157,OH,Available,65283.00,Unknown
CLHQ-V-0158,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0158,OH-0158,OH,Available,73202.00,Unknown
CLHQ-V-0159,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0159,OH-0159,OH,Available,81121.00,Unknown
CLHQ-V-0160,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0160,OH-0160,OH,Maintenance,89040.00,Unknown
CLHQ-V-0161,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0161,OH-0161,OH,Available,96959.00,Unknown
CLHQ-V-0162,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0162,OH-0162,OH,Available,104878.00,Unknown
CLHQ-V-0163,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0163,OH-0163,OH,Available,112797.00,Unknown
CLHQ-V-0164,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0164,OH-0164,OH,Available,120716.00,Unknown
CLHQ-V-0165,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0165,OH-0165,OH,Available,128635.00,Unknown
CLHQ-V-0166,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0166,OH-0166,OH,Available,136554.00,Unknown
CLHQ-V-0167,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0167,OH-0167,OH,Available,144473.00,Unknown
CLHQ-V-0168,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0168,OH-0168,OH,Available,152392.00,Unknown
CLHQ-V-0169,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0169,OH-0169,OH,Available,160311.00,Unknown
CLHQ-V-0170,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0170,OH-0170,OH,Available,168230.00,Unknown
CLHQ-V-0171,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0171,OH-0171,OH,Available,176149.00,Unknown
CLHQ-V-0172,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0172,OH-0172,OH,Available,184068.00,Unknown
CLHQ-V-0173,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0173,OH-0173,OH,Available,191987.00,Unknown
CLHQ-V-0174,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0174,OH-0174,OH,Available,199906.00,Unknown
CLHQ-V-0175,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0175,OH-0175,OH,Available,207825.00,Unknown
CLHQ-V-0176,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0176,OH-0176,OH,Available,215744.00,Unknown
CLHQ-V-0177,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0177,OH-0177,OH,Available,223663.00,Unknown
CLHQ-V-0178,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0178,OH-0178,OH,Available,231582.00,Unknown
CLHQ-V-0179,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0179,OH-0179,OH,Available,239501.00,Unknown
CLHQ-V-0180,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0180,OH-0180,OH,Maintenance,247420.00,Unknown
CLHQ-V-0181,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0181,OH-0181,OH,Available,255339.00,Unknown
CLHQ-V-0182,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0182,OH-0182,OH,Available,263258.00,Unknown
CLHQ-V-0183,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0183,OH-0183,OH,Available,271177.00,Unknown
CLHQ-V-0184,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0184,OH-0184,OH,Available,279096.00,Unknown
CLHQ-V-0185,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0185,OH-0185,OH,Available,287015.00,Unknown
CLHQ-V-0186,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0186,OH-0186,OH,Available,294934.00,Unknown
CLHQ-V-0187,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0187,OH-0187,OH,Available,302853.00,Unknown
CLHQ-V-0188,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0188,OH-0188,OH,Available,310772.00,Unknown
CLHQ-V-0189,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0189,OH-0189,OH,Available,318691.00,Unknown
CLHQ-V-0190,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0190,OH-0190,OH,Available,326610.00,Unknown
CLHQ-V-0191,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0191,OH-0191,OH,Available,334529.00,Unknown
CLHQ-V-0192,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0192,OH-0192,OH,Available,342448.00,Unknown
CLHQ-V-0193,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0193,OH-0193,OH,Available,350367.00,Unknown
CLHQ-V-0194,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0194,OH-0194,OH,Available,358286.00,Unknown
CLHQ-V-0195,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0195,OH-0195,OH,Available,366205.00,Unknown
CLHQ-V-0196,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0196,OH-0196,OH,Available,374124.00,Unknown
CLHQ-V-0197,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0197,OH-0197,OH,Available,382043.00,Unknown
CLHQ-V-0198,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0198,OH-0198,OH,Available,389962.00,Unknown
CLHQ-V-0199,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0199,OH-0199,OH,Available,397881.00,Unknown
CLHQ-V-0200,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0200,OH-0200,OH,Maintenance,405800.00,Unknown
MWYARD-V-0001,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0001,IL-0001,IL,Available,49919.00,Unknown
MWYARD-V-0002,MW-YARD,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0002,IL-0002,IL,Available,57838.00,Unknown
MWYARD-V-0003,MW-YARD,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0003,IL-0003,IL,Available,65757.00,Unknown
MWYARD-V-0004,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0004,IL-0004,IL,Available,73676.00,Unknown
MWYARD-V-0005,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0005,IL-0005,IL,Available,81595.00,Unknown
MWYARD-V-0006,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0006,IL-0006,IL,Available,89514.00,Unknown
MWYARD-V-0007,MW-YARD,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0007,IL-0007,IL,Available,97433.00,Unknown
MWYARD-V-0008,MW-YARD,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0008,IL-0008,IL,Available,105352.00,Unknown
MWYARD-V-0009,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0009,IL-0009,IL,Available,113271.00,Unknown
MWYARD-V-0010,MW-YARD,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0010,IL-0010,IL,Available,121190.00,Unknown
MWYARD-V-0011,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0011,IL-0011,IL,Available,129109.00,Unknown
MWYARD-V-0012,MW-YARD,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0012,IL-0012,IL,Available,137028.00,Unknown
MWYARD-V-0013,MW-YARD,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0013,IL-0013,IL,Available,144947.00,Unknown
MWYARD-V-0014,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0014,IL-0014,IL,Available,152866.00,Unknown
MWYARD-V-0015,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0015,IL-0015,IL,Available,160785.00,Unknown
MWYARD-V-0016,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0016,IL-0016,IL,Available,168704.00,Unknown
MWYARD-V-0017,MW-YARD,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0017,IL-0017,IL,Available,176623.00,Unknown
MWYARD-V-0018,MW-YARD,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0018,IL-0018,IL,Available,184542.00,Unknown
MWYARD-V-0019,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0019,IL-0019,IL,Available,192461.00,Unknown
MWYARD-V-0020,MW-YARD,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0020,IL-0020,IL,Maintenance,200380.00,Unknown
MWYARD-V-0021,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0021,IL-0021,IL,Available,208299.00,Unknown
MWYARD-V-0022,MW-YARD,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0022,IL-0022,IL,Available,216218.00,Unknown
MWYARD-V-0023,MW-YARD,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0023,IL-0023,IL,Available,224137.00,Unknown
MWYARD-V-0024,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0024,IL-0024,IL,Available,232056.00,Unknown
MWYARD-V-0025,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0025,IL-0025,IL,Available,239975.00,Unknown
MWYARD-V-0026,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0026,IL-0026,IL,Available,247894.00,Unknown
MWYARD-V-0027,MW-YARD,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0027,IL-0027,IL,Available,255813.00,Unknown
MWYARD-V-0028,MW-YARD,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0028,IL-0028,IL,Available,263732.00,Unknown
MWYARD-V-0029,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0029,IL-0029,IL,Available,271651.00,Unknown
MWYARD-V-0030,MW-YARD,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0030,IL-0030,IL,Available,279570.00,Unknown
MWYARD-V-0031,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0031,IL-0031,IL,Available,287489.00,Unknown
MWYARD-V-0032,MW-YARD,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0032,IL-0032,IL,Available,295408.00,Unknown
MWYARD-V-0033,MW-YARD,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0033,IL-0033,IL,Available,303327.00,Unknown
MWYARD-V-0034,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0034,IL-0034,IL,Available,311246.00,Unknown
MWYARD-V-0035,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0035,IL-0035,IL,Available,319165.00,Unknown
MWYARD-V-0036,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0036,IL-0036,IL,Available,327084.00,Unknown
MWYARD-V-0037,MW-YARD,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0037,IL-0037,IL,Available,335003.00,Unknown
MWYARD-V-0038,MW-YARD,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0038,IL-0038,IL,Available,342922.00,Unknown
MWYARD-V-0039,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0039,IL-0039,IL,Available,350841.00,Unknown
MWYARD-V-0040,MW-YARD,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0040,IL-0040,IL,Maintenance,358760.00,Unknown
MWYARD-V-0041,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0041,IL-0041,IL,Available,366679.00,Unknown
MWYARD-V-0042,MW-YARD,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0042,IL-0042,IL,Available,374598.00,Unknown
MWYARD-V-0043,MW-YARD,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0043,IL-0043,IL,Available,382517.00,Unknown
MWYARD-V-0044,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0044,IL-0044,IL,Available,390436.00,Unknown
MWYARD-V-0045,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0045,IL-0045,IL,Available,398355.00,Unknown
MWYARD-V-0046,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0046,IL-0046,IL,Available,406274.00,Unknown
MWYARD-V-0047,MW-YARD,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0047,IL-0047,IL,Available,414193.00,Unknown
MWYARD-V-0048,MW-YARD,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0048,IL-0048,IL,Available,422112.00,Unknown
MWYARD-V-0049,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0049,IL-0049,IL,Available,430031.00,Unknown
MWYARD-V-0050,MW-YARD,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0050,IL-0050,IL,Available,437950.00,Unknown
MWYARD-V-0051,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0051,IL-0051,IL,Available,445869.00,Unknown
MWYARD-V-0052,MW-YARD,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0052,IL-0052,IL,Available,453788.00,Unknown
MWYARD-V-0053,MW-YARD,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0053,IL-0053,IL,Available,461707.00,Unknown
MWYARD-V-0054,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0054,IL-0054,IL,Available,469626.00,Unknown
MWYARD-V-0055,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0055,IL-0055,IL,Available,477545.00,Unknown
MWYARD-V-0056,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0056,IL-0056,IL,Available,485464.00,Unknown
MWYARD-V-0057,MW-YARD,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0057,IL-0057,IL,Available,493383.00,Unknown
MWYARD-V-0058,MW-YARD,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0058,IL-0058,IL,Available,501302.00,Unknown
MWYARD-V-0059,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0059,IL-0059,IL,Available,509221.00,Unknown
MWYARD-V-0060,MW-YARD,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0060,IL-0060,IL,Maintenance,517140.00,Unknown
MWYARD-V-0061,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0061,IL-0061,IL,Available,525059.00,Unknown
MWYARD-V-0062,MW-YARD,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0062,IL-0062,IL,Available,532978.00,Unknown
MWYARD-V-0063,MW-YARD,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0063,IL-0063,IL,Available,540897.00,Unknown
MWYARD-V-0064,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0064,IL-0064,IL,Available,548816.00,Unknown
MWYARD-V-0065,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0065,IL-0065,IL,Available,556735.00,Unknown
MWYARD-V-0066,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0066,IL-0066,IL,Available,564654.00,Unknown
MWYARD-V-0067,MW-YARD,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0067,IL-0067,IL,Available,572573.00,Unknown
MWYARD-V-0068,MW-YARD,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0068,IL-0068,IL,Available,580492.00,Unknown
MWYARD-V-0069,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0069,IL-0069,IL,Available,588411.00,Unknown
MWYARD-V-0070,MW-YARD,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0070,IL-0070,IL,Available,596330.00,Unknown
MWYARD-V-0071,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0071,IL-0071,IL,Available,604249.00,Unknown
MWYARD-V-0072,MW-YARD,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0072,IL-0072,IL,Available,612168.00,Unknown
MWYARD-V-0073,MW-YARD,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0073,IL-0073,IL,Available,620087.00,Unknown
MWYARD-V-0074,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0074,IL-0074,IL,Available,628006.00,Unknown
MWYARD-V-0075,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0075,IL-0075,IL,Available,635925.00,Unknown
MWYARD-V-0076,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0076,IL-0076,IL,Available,643844.00,Unknown
MWYARD-V-0077,MW-YARD,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0077,IL-0077,IL,Available,651763.00,Unknown
MWYARD-V-0078,MW-YARD,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0078,IL-0078,IL,Available,49682.00,Unknown
MWYARD-V-0079,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0079,IL-0079,IL,Available,57601.00,Unknown
MWYARD-V-0080,MW-YARD,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0080,IL-0080,IL,Maintenance,65520.00,Unknown
MWYARD-V-0081,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0081,IL-0081,IL,Available,73439.00,Unknown
MWYARD-V-0082,MW-YARD,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0082,IL-0082,IL,Available,81358.00,Unknown
MWYARD-V-0083,MW-YARD,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0083,IL-0083,IL,Available,89277.00,Unknown
MWYARD-V-0084,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0084,IL-0084,IL,Available,97196.00,Unknown
MWYARD-V-0085,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0085,IL-0085,IL,Available,105115.00,Unknown
MWYARD-V-0086,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0086,IL-0086,IL,Available,113034.00,Unknown
MWYARD-V-0087,MW-YARD,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0087,IL-0087,IL,Available,120953.00,Unknown
MWYARD-V-0088,MW-YARD,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0088,IL-0088,IL,Available,128872.00,Unknown
MWYARD-V-0089,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0089,IL-0089,IL,Available,136791.00,Unknown
MWYARD-V-0090,MW-YARD,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0090,IL-0090,IL,Available,144710.00,Unknown
MWYARD-V-0091,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0091,IL-0091,IL,Available,152629.00,Unknown
MWYARD-V-0092,MW-YARD,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0092,IL-0092,IL,Available,160548.00,Unknown
MWYARD-V-0093,MW-YARD,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-MWYARD-VEH-0093,IL-0093,IL,Available,168467.00,Unknown
MWYARD-V-0094,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-MWYARD-VEH-0094,IL-0094,IL,Available,176386.00,Unknown
MWYARD-V-0095,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0095,IL-0095,IL,Available,184305.00,Unknown
MWYARD-V-0096,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-MWYARD-VEH-0096,IL-0096,IL,Available,192224.00,Unknown
MWYARD-V-0097,MW-YARD,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-MWYARD-VEH-0097,IL-0097,IL,Available,200143.00,Unknown
